entry_time,exit_time,direction,entry_price,exit_price,sl,tp,size,pnl,duration_bars,exit_reason
2024-01-22 08:30:00+00:00,2024-02-01 16:10:00+00:00,long,2025.12697,2058.63845,2001.87915,2058.68111,179998.54,2942.5874,1196,tp
2024-02-01 16:15:00+00:00,2024-02-05 06:35:00+00:00,long,2059.82769,2027.06781,2027.13273,2107.17503,185030.45,-2979.7647,172,sl
2024-02-14 07:10:00+00:00,2024-02-16 18:05:00+00:00,short,1990.00376,2014.61532,2014.58496,1954.61262,179929.22,-2261.2781,683,sl
2024-02-19 17:35:00+00:00,2024-03-01 03:10:00+00:00,long,2017.73541,2045.90469,1998.17295,2045.99913,175846.12,2419.7901,913,tp
2024-03-01 07:15:00+00:00,2024-03-01 16:15:00+00:00,long,2048.29745,2074.92729,2029.93829,2074.95856,180217.83,2306.9618,108,tp
2024-03-01 16:20:00+00:00,2024-03-04 00:00:00+00:00,long,2074.16626,2082.78829,2046.47269,2114.26582,183891.45,727.6333,80,signal
2024-03-12 17:50:00+00:00,2024-03-14 00:00:00+00:00,short,2157.28248,2174.83538,2191.87482,2107.25728,185676.58,-1547.9076,338,signal
2024-03-25 19:10:00+00:00,2024-03-26 00:00:00+00:00,short,2171.78227,2172.67459,2205.4374,2123.26339,182818.26,-111.6783,46,signal
2024-03-27 08:15:00+00:00,2024-03-28 20:45:00+00:00,long,2181.21788,2231.63163,2146.5447,2231.67788,182691.33,4185.945,426,tp
2024-03-28 20:50:00+00:00,2024-04-01 00:00:00+00:00,long,2229.4312,2244.82138,2192.98439,2282.13609,152050.64,1019.2233,26,signal
2024-04-11 08:20:00+00:00,2024-04-11 22:20:00+00:00,short,2331.44286,2378.12196,2378.01219,2264.05919,192062.4,-3883.7994,156,sl
2024-04-15 08:35:00+00:00,2024-04-29 00:00:00+00:00,short,2345.93964,2336.15982,2406.64061,2257.79821,185071.88,734.5184,1577,signal
2024-04-29 08:25:00+00:00,2024-04-30 14:30:00+00:00,long,2338.23024,2298.54221,2298.57686,2395.56205,157309.65,-2701.5627,349,sl
2024-05-02 08:15:00+00:00,2024-05-02 16:00:00+00:00,short,2307.39022,2298.67965,2349.83606,2246.05762,179817.58,642.8617,93,signal
2024-05-06 12:45:00+00:00,2024-05-10 08:00:00+00:00,long,2324.64318,2367.65931,2281.05055,2387.38514,182610.93,3342.5843,1047,signal
2024-05-15 07:10:00+00:00,2024-05-17 14:40:00+00:00,long,2361.46059,2408.13802,2329.13768,2408.18793,188704.66,3692.2588,642,tp
2024-05-17 14:45:00+00:00,2024-05-20 04:00:00+00:00,long,2408.90492,2437.47693,2371.42977,2463.11615,195320.14,2277.6268,147,signal
2024-05-22 14:10:00+00:00,2024-05-23 17:25:00+00:00,short,2399.82826,2335.5875,2444.29973,2335.53909,199006.28,5287.3784,315,tp
2024-05-23 17:30:00+00:00,2024-05-28 20:00:00+00:00,short,2336.05958,2358.49355,2385.35154,2264.65569,208968.08,-2048.5841,828,signal
2024-05-30 11:00:00+00:00,2024-06-07 04:00:00+00:00,long,2340.59351,2379.34879,2308.09207,2387.59702,205278.8,3357.9273,1572,signal
2024-06-07 20:15:00+00:00,2024-06-12 12:50:00+00:00,short,2286.81761,2335.38252,2335.33412,2216.59917,211324.9,-4530.1509,739,sl
2024-06-13 07:20:00+00:00,2024-06-21 16:00:00+00:00,long,2316.76992,2327.64292,2279.49376,2370.5089,201326.67,904.5951,1730,signal
2024-06-25 12:50:00+00:00,2024-06-25 16:00:00+00:00,short,2325.04996,2324.44303,2357.43206,2278.12033,162050.44,9.8908,38,signal
2024-06-28 07:50:00+00:00,2024-07-09 14:00:00+00:00,long,2328.4701,2371.11086,2298.93273,2371.16,204807.87,3709.6403,326,tp
